"Sprint","Bucket","Issue Title","Priority","Definition of Done"
"Sprint 1","MVP alignment","Freeze MVP feature scope","Critical","Scope doc exists in repo with explicit in-scope and out-of-scope items, and it is accepted."
"Sprint 1","MVP alignment","Freeze core business actors and roles","High","Actors are documented (customer, staff, admin, notification provider) and staff vs admin permissions are defined."
"Sprint 1","MVP alignment","Freeze order lifecycle states","Critical","Official order statuses and allowed/invalid transitions are documented and treated as source of truth."
"Sprint 1","MVP alignment","Freeze product lifecycle states","High","Official product states (Draft, Published) and publish/unpublish rules are documented."
"Sprint 1","MVP alignment","Freeze inventory rules","Critical","Immediate stock reservation/reduction, cancellation restore, and no-negative-stock rules are documented."
"Sprint 1","MVP alignment","Freeze customer notification rules","Medium","Notification-triggering events, MVP-first channel, and non-rollback failure rule are documented."
"Sprint 1","BDD source of truth","Create BDD folder structure in the repo","High","docs/bdd/mvp/ exists with all expected subfolders and a short README."
"Sprint 1","BDD source of truth","Add the full MVP feature-file pack to the repo","Critical","MVP .feature files are committed for auth, catalog, orders, products, inventory, notifications, and platform."
"Sprint 1","BDD source of truth","Normalize BDD language and tags","High","Statuses, actor names, and tags are consistent across all feature files."
"Sprint 1","Domain and architecture","Write the ubiquitous language glossary","Critical","Core business terms are defined and aligned with BDD wording."
"Sprint 1","Domain and architecture","Define domain invariants","Critical","Non-negotiable rules are documented clearly enough to convert into tests later."
"Sprint 1","Domain and architecture","Write monorepo architecture notes","High","ARCHITECTURE.md exists and documents boundaries between apps and packages."
"Sprint 1","Persistence foundation","Choose database and persistence strategy","Critical","Database and ORM/query layer are finalized and documented for MVP."
"Sprint 1","Persistence foundation","Design the core database schema","Critical","Core tables, relations, required fields, and nullability are defined."
"Sprint 1","Persistence foundation","Add initial database migrations","Critical","Fresh local setup can create the schema from migrations successfully."
"Sprint 1","Persistence foundation","Add development seed data","High","Seed script creates usable local admin, product, variant, and sample order data."
"Sprint 2","Shared contracts","Create contract modules in packages/contracts","Critical","Contract folders exist for auth, products, inventory, orders, notifications, and health."
"Sprint 2","Shared contracts","Define auth request and response contracts","High","Typed contracts exist for login, logout, current user, request reset, and confirm reset."
"Sprint 2","Shared contracts","Define public catalog and product contracts","High","Typed contracts exist for public product listing and product detail with only public-safe fields."
"Sprint 2","Shared contracts","Define order contracts","High","Typed contracts exist for create order, lookup order, admin order list/detail, and status updates."
"Sprint 2","Shared contracts","Define standard error and pagination contracts","High","Shared API error and pagination shapes are defined and reusable."
"Sprint 2","API foundation","Set up API module structure","High","Nest modules exist for health, auth, products, inventory, orders, and notifications."
"Sprint 2","API foundation","Add global validation and error handling","High","Invalid requests return stable structured errors and validation is enforced globally."
"Sprint 2","API foundation","Add configuration management","High","Required env vars are centrally loaded, validated, and fail fast when missing."
"Sprint 2","API foundation","Implement health endpoint","Critical","GET /health returns 200, is public, and has at least one API test."
"Sprint 2","Auth and authorization","Implement admin user persistence and password hashing","Critical","Admin users are stored correctly and passwords are hashed and verifiable."
"Sprint 2","Auth and authorization","Implement admin login endpoint","Critical","Valid credentials create a session, invalid ones fail generically, disabled users are rejected."
"Sprint 2","Auth and authorization","Implement session management and logout","High","Authenticated sessions persist correctly and logout invalidates access."
"Sprint 2","Auth and authorization","Implement protected-route auth guard","High","Protected routes reject unauthenticated users and allow valid authenticated users."
"Sprint 2","Auth and authorization","Implement role-based authorization","High","admin and staff roles are enforced correctly on protected routes."
"Sprint 2","Auth and authorization","Add auth integration tests","High","Auth tests cover login success/failure, logout, guards, and role restrictions."
"Sprint 3","Product management","Implement admin product CRUD","Critical","Back-office users can create, update, and list products successfully."
"Sprint 3","Product management","Implement product variants","High","Products support multiple valid variants with required MVP fields."
"Sprint 3","Product management","Implement publish and unpublish rules","Critical","Incomplete products cannot be published; unpublished products are not public."
"Sprint 3","Public catalog","Implement public catalog listing endpoint","Critical","Public listing returns only published products and supports category filtering."
"Sprint 3","Public catalog","Implement product detail endpoint","High","Public detail returns name, description, variants, media/availability, and blocks unpublished products."
"Sprint 3","Public catalog","Add product and catalog tests","High","Tests cover public visibility, filtering, publish validation, and detail loading."
"Sprint 3","Inventory","Implement inventory adjustment endpoint","Critical","Back office can increase/decrease stock and negative stock is blocked."
"Sprint 3","Inventory","Add inventory tests","High","Tests cover stock increase, decrease, negative-stock prevention, and adjustment behavior."
"Sprint 3","Guest ordering","Implement create-order endpoint","Critical","Guests can create orders with required fields and invalid requests are rejected cleanly."
"Sprint 3","Guest ordering","Implement stock reservation on order creation","Critical","Order creation updates stock atomically and rejects insufficient stock."
"Sprint 3","Guest ordering","Generate human-readable order references","High","Each order gets a unique readable reference usable in customer flows."
"Sprint 3","Guest ordering","Store order item snapshots","High","Orders preserve product/variant/price snapshot data even if catalog data changes later."
"Sprint 3","Guest ordering","Implement customer order lookup endpoint","High","Customers can look up orders via reference + phone without leaking other order data."
"Sprint 3","Guest ordering","Add order placement and lookup tests","High","Tests cover successful order creation, validation failures, stock failures, and lookup success/failure."
